$PEKIO,COORD,096,0x001A79,3.35,-5.78,1.21,,1726450193.238
$PEKIO,COORD,249,0x001A2C,3.64,-6.28,1.10,,1726450193.262
$PEKIO,COORD,097,0x001A79,3.38,-5.84,1.19,,1726450193.340
$PEKIO,COORD,250,0x001A2C,3.67,-6.29,1.08,,1726450193.362
$PEKIO,COORD,098,0x001A79,3.41,-5.90,1.18,,1726450193.441
$PEKIO,COORD,251,0x001A2C,3.67,-6.29,1.08,,1726450193.462
$PEKIO,COORD,099,0x001A79,3.44,-5.96,1.17,,1726450193.540
$PEKIO,COORD,252,0x001A2C,3.67,-6.30,1.08,,1726450193.564
$PEKIO,COORD,100,0x001A79,3.47,-6.00,1.17,,1726450193.641
$PEKIO,COORD,253,0x001A2C,3.65,-6.30,1.09,,1726450193.664
$PEKIO,COORD,101,0x001A79,3.48,-6.01,1.18,,1726450193.740
$PEKIO,COORD,254,0x001A2C,3.64,-6.30,1.11,,1726450193.763
$PEKIO,COORD,102,0x001A79,3.50,-6.00,1.19,,1726450193.843
$PEKIO,COORD,255,0x001A2C,3.63,-6.29,1.12,,1726450193.866
$PEKIO,COORD,103,0x001A79,3.51,-5.98,1.19,,1726450193.942
$PEKIO,COORD,000,0x001A2C,3.63,-6.28,1.12,,1726450193.965
$PEKIO,COORD,104,0x001A79,3.51,-5.95,1.20,,1726450194.042
$PEKIO,COORD,001,0x001A2C,3.65,-6.27,1.13,,1726450194.065
$PEKIO,COORD,105,0x001A79,3.52,-5.92,1.19,,1726450194.142
$PEKIO,COORD,002,0x001A2C,3.66,-6.27,1.13,,1726450194.166
$PEKIO,COORD,106,0x001A79,3.54,-5.90,1.19,,1726450194.244
$PEKIO,COORD,003,0x001A2C,3.69,-6.26,1.12,,1726450194.265
$PEKIO,COORD,107,0x001A79,3.55,-5.88,1.18,,1726450194.344
$PEKIO,COORD,004,0x001A2C,3.72,-6.26,1.12,,1726450194.387
$PEKIO,COORD,108,0x001A79,3.57,-5.86,1.16,,1726450194.444
$PEKIO,COORD,005,0x001A2C,3.74,-6.25,1.12,,1726450194.485
$PEKIO,COORD,109,0x001A79,3.58,-5.83,1.14,,1726450194.544
$PEKIO,COORD,006,0x001A2C,3.75,-6.24,1.12,,1726450194.568
$PEKIO,COORD,110,0x001A79,3.59,-5.81,1.13,,1726450194.646
$PEKIO,COORD,007,0x001A2C,3.75,-6.22,1.12,,1726450194.666
$PEKIO,COORD,111,0x001A79,3.60,-5.79,1.13,,1726450194.744
$PEKIO,COORD,008,0x001A2C,3.75,-6.20,1.13,,1726450194.766
$PEKIO,COORD,112,0x001A79,3.61,-5.78,1.13,,1726450194.846
$PEKIO,COORD,009,0x001A2C,3.75,-6.17,1.13,,1726450194.866
$PEKIO,COORD,113,0x001A79,3.63,-5.77,1.15,,1726450194.947
$PEKIO,COORD,010,0x001A2C,3.76,-6.15,1.14,,1726450194.967
$PEKIO,COORD,114,0x001A79,3.64,-5.75,1.16,,1726450195.045
$PEKIO,COORD,011,0x001A2C,3.78,-6.13,1.15,,1726450195.070
$PEKIO,COORD,115,0x001A79,3.66,-5.73,1.18,,1726450195.147
$PEKIO,COORD,012,0x001A2C,3.81,-6.10,1.16,,1726450195.170
$PEKIO,COORD,116,0x001A79,3.68,-5.70,1.19,,1726450195.246
$PEKIO,COORD,013,0x001A2C,3.84,-6.07,1.16,,1726450195.269
$PEKIO,COORD,117,0x001A79,3.68,-5.63,1.21,,1726450195.348
$PEKIO,COORD,014,0x001A2C,3.87,-6.04,1.16,,1726450195.370
$PEKIO,COORD,118,0x001A79,3.68,-5.56,1.22,,1726450195.446
$PEKIO,COORD,015,0x001A2C,3.89,-6.00,1.15,,1726450195.468
$PEKIO,COORD,119,0x001A79,3.68,-5.49,1.23,,1726450195.547
$PEKIO,COORD,016,0x001A2C,3.92,-5.97,1.15,,1726450195.569
$PEKIO,COORD,120,0x001A79,3.67,-5.45,1.23,,1726450195.647
$PEKIO,COORD,017,0x001A2C,3.95,-5.94,1.15,,1726450195.670
$PEKIO,COORD,121,0x001A79,3.67,-5.42,1.24,,1726450195.748
$PEKIO,COORD,018,0x001A2C,3.98,-5.91,1.14,,1726450195.769
$PEKIO,COORD,122,0x001A79,3.67,-5.38,1.25,,1726450195.849
$PEKIO,COORD,019,0x001A2C,4.01,-5.87,1.13,,1726450195.870
$PEKIO,COORD,123,0x001A79,3.68,-5.34,1.25,,1726450195.948
$PEKIO,COORD,020,0x001A2C,4.04,-5.83,1.13,,1726450195.972
$PEKIO,COORD,124,0x001A79,3.68,-5.27,1.26,,1726450196.050
$PEKIO,COORD,021,0x001A2C,4.07,-5.78,1.12,,1726450196.070
$PEKIO,COORD,125,0x001A79,3.67,-5.17,1.27,,1726450196.149
$PEKIO,COORD,022,0x001A2C,4.08,-5.74,1.12,,1726450196.172
$PEKIO,COORD,126,0x001A79,3.65,-5.05,1.27,,1726450196.250
$PEKIO,COORD,023,0x001A2C,4.09,-5.70,1.11,,1726450196.270
$PEKIO,COORD,127,0x001A79,3.63,-4.94,1.28,,1726450196.352
$PEKIO,COORD,024,0x001A2C,4.10,-5.67,1.11,,1726450196.372
$PEKIO,COORD,128,0x001A79,3.62,-4.84,1.29,,1726450196.451
$PEKIO,COORD,025,0x001A2C,4.09,-5.65,1.11,,1726450196.494
$PEKIO,COORD,129,0x001A79,3.61,-4.77,1.30,,1726450196.551
$PEKIO,COORD,026,0x001A2C,4.08,-5.60,1.12,,1726450196.596
$PEKIO,COORD,130,0x001A79,3.60,-4.72,1.30,,1726450196.651
$PEKIO,COORD,027,0x001A2C,4.07,-5.51,1.12,,1726450196.696
$PEKIO,COORD,131,0x001A79,3.59,-4.69,1.31,,1726450196.751
$PEKIO,COORD,028,0x001A2C,4.07,-5.38,1.14,,1726450196.794
$PEKIO,COORD,132,0x001A79,3.60,-4.69,1.29,,1726450196.852
$PEKIO,COORD,029,0x001A2C,4.07,-5.21,1.15,,1726450196.896
$PEKIO,COORD,133,0x001A79,3.63,-4.71,1.26,,1726450196.952
$PEKIO,COORD,030,0x001A2C,4.08,-5.06,1.17,,1726450196.993
$PEKIO,COORD,134,0x001A79,3.68,-4.77,1.21,,1726450197.053
$PEKIO,COORD,031,0x001A2C,4.10,-4.93,1.18,,1726450197.093
$PEKIO,COORD,135,0x001A79,3.71,-4.80,1.17,,1726450197.154
$PEKIO,COORD,032,0x001A2C,4.14,-4.83,1.20,,1726450197.197
$PEKIO,COORD,136,0x001A79,3.71,-4.78,1.14,,1726450197.255
$PEKIO,COORD,033,0x001A2C,4.18,-4.73,1.21,,1726450197.297
$PEKIO,COORD,137,0x001A79,3.70,-4.73,1.12,,1726450197.353
$PEKIO,COORD,034,0x001A2C,4.23,-4.64,1.22,,1726450197.399
$PEKIO,COORD,138,0x001A79,3.68,-4.65,1.11,,1726450197.454
$PEKIO,COORD,035,0x001A2C,4.29,-4.55,1.22,,1726450197.497
$PEKIO,COORD,139,0x001A79,3.67,-4.62,1.10,,1726450197.555
$PEKIO,COORD,036,0x001A2C,4.34,-4.46,1.22,,1726450197.597
$PEKIO,COORD,140,0x001A79,3.66,-4.61,1.09,,1726450197.657
$PEKIO,COORD,037,0x001A2C,4.38,-4.38,1.22,,1726450197.699
$PEKIO,COORD,141,0x001A79,3.64,-4.62,1.10,,1726450197.755
$PEKIO,COORD,038,0x001A2C,4.41,-4.31,1.22,,1726450197.777
$PEKIO,COORD,142,0x001A79,3.62,-4.64,1.11,,1726450197.855
$PEKIO,COORD,039,0x001A2C,4.43,-4.26,1.22,,1726450197.897
$PEKIO,COORD,143,0x001A79,3.58,-4.62,1.12,,1726450197.957
$PEKIO,COORD,040,0x001A2C,4.45,-4.21,1.21,,1726450197.998
$PEKIO,COORD,144,0x001A79,3.54,-4.57,1.13,,1726450198.056
$PEKIO,COORD,041,0x001A2C,4.46,-4.17,1.21,,1726450198.076
$PEKIO,COORD,145,0x001A79,3.50,-4.51,1.14,,1726450198.157
$PEKIO,COORD,042,0x001A2C,4.46,-4.13,1.21,,1726450198.177
$PEKIO,COORD,146,0x001A79,3.47,-4.47,1.14,Math: Not enough data.,1726450198.258
$PEKIO,COORD,043,0x001A2C,4.46,-4.08,1.22,,1726450198.278
$PEKIO,COORD,147,0x001A79,3.46,-4.39,1.16,,1726450198.357
$PEKIO,COORD,044,0x001A2C,4.45,-4.03,1.22,,1726450198.381
$PEKIO,COORD,148,0x001A79,3.46,-4.30,1.18,,1726450198.458
$PEKIO,COORD,045,0x001A2C,4.41,-3.96,1.22,,1726450198.502
$PEKIO,COORD,149,0x001A79,3.47,-4.19,1.20,,1726450198.558
$PEKIO,COORD,046,0x001A2C,4.33,-3.88,1.21,,1726450198.603
$PEKIO,COORD,150,0x001A79,3.50,-4.07,1.22,,1726450198.658
$PEKIO,COORD,047,0x001A2C,4.22,-3.78,1.20,,1726450198.703
$PEKIO,COORD,151,0x001A79,3.50,-3.95,1.23,,1726450198.760
$PEKIO,COORD,048,0x001A2C,4.08,-3.67,1.18,,1726450198.782
$PEKIO,COORD,152,0x001A79,3.48,-3.84,1.23,,1726450198.861
$PEKIO,COORD,049,0x001A2C,3.95,-3.57,1.17,,1726450198.884
$PEKIO,COORD,153,0x001A79,3.44,-3.72,1.23,Math: Not enough data.,1726450198.960
$PEKIO,COORD,050,0x001A2C,3.85,-3.49,1.16,,1726450199.001
$PEKIO,COORD,154,0x001A79,3.40,-3.62,1.22,,1726450199.060
$PEKIO,COORD,051,0x001A2C,3.76,-3.44,1.16,,1726450199.083
$PEKIO,COORD,155,0x001A79,3.36,-3.58,1.20,,1726450199.161
$PEKIO,COORD,052,0x001A2C,3.69,-3.40,1.16,,1726450199.201
$PEKIO,COORD,156,0x001A79,3.34,-3.57,1.17,,1726450199.261
$PEKIO,COORD,053,0x001A2C,3.61,-3.36,1.16,,1726450199.303
$PEKIO,COORD,157,0x001A79,3.31,-3.58,1.15,,1726450199.361
$PEKIO,COORD,054,0x001A2C,3.52,-3.33,1.16,,1726450199.384
$PEKIO,COORD,158,0x001A79,3.29,-3.61,1.12,,1726450199.463
$PEKIO,COORD,055,0x001A2C,3.40,-3.29,1.16,,1726450199.485
$PEKIO,COORD,159,0x001A79,3.25,-3.61,1.10,,1726450199.561
$PEKIO,COORD,056,0x001A2C,3.28,-3.24,1.16,,1726450199.584
$PEKIO,COORD,160,0x001A79,3.17,-3.57,1.11,,1726450199.663
$PEKIO,COORD,057,0x001A2C,3.16,-3.19,1.15,,1726450199.684
$PEKIO,COORD,161,0x001A79,3.06,-3.50,1.12,,1726450199.763
$PEKIO,COORD,058,0x001A2C,3.07,-3.14,1.14,,1726450199.786
$PEKIO,COORD,162,0x001A79,2.95,-3.43,1.14,,1726450199.863
$PEKIO,COORD,059,0x001A2C,2.99,-3.10,1.13,,1726450199.884
$PEKIO,COORD,163,0x001A79,2.85,-3.36,1.16,,1726450199.965
$PEKIO,COORD,060,0x001A2C,2.91,-3.06,1.11,,1726450200.006
$PEKIO,COORD,164,0x001A79,2.77,-3.29,1.18,Math: Not enough data.,1726450200.063
$PEKIO,COORD,061,0x001A2C,2.84,-3.04,1.11,,1726450200.105
$PEKIO,COORD,165,0x001A79,2.69,-3.23,1.19,,1726450200.165
$PEKIO,COORD,062,0x001A2C,2.78,-3.02,1.11,,1726450200.207
